Attaching to dataclay_logicmodule_1
[36mlogicmodule_1  |[0m 2019-11-13T17:25:49,542 INFO [LogicModule] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [LogicModule:316] Initialized Logic Module for dataClay with id 520f9602-7c1c-4f61-8e7f-da333dd384bf
[36mlogicmodule_1  |[0m 2019-11-13T17:25:49,544 INFO [LogicModule] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [LogicModule:317] Initialized Logic Module with hostname logicmodule and port 11034
[36mlogicmodule_1  |[0m 2019-11-13T17:25:49,565 DEBUG [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:438] Looking for env variable set in global.properties: MAX_MESSAGE_SIZE
[36mlogicmodule_1  |[0m 2019-11-13T17:25:49,568 DEBUG [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:477] Not found environment variable set in global.properties, using default: MAX_MESSAGE_SIZE=null
[36mlogicmodule_1  |[0m 2019-11-13T17:25:54,718 DEBUG [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:438] Looking for env variable set in global.properties: STATE_FILE
[36mlogicmodule_1  |[0m 2019-11-13T17:25:54,718 DEBUG [util.Configuration] [es.bsc.dataclay.logic.server.LogicModuleSrv.main()] [Configuration$Flags:477] Not found environment variable set in global.properties, using default: STATE_FILE=null
[36mlogicmodule_1  |[0m 2019-11-13T17:25:58,176 DEBUG [MetaDataService] [LM-1-thread-1] [MetaDataService:884] Registering new backend: [SL/DS1/172.31.0.4:2127]
[36mlogicmodule_1  |[0m 2019-11-13T17:25:58,183 INFO [LogicModule] [LM-1-thread-1] [LogicModule:726] [LOGICMODULE] Registered StorageLocation named [SL/DS1/172.31.0.4:2127] as 96c5bb62-d81f-4aaf-a4a1-66e576055d2a
[36mlogicmodule_1  |[0m 2019-11-13T17:25:58,325 DEBUG [MetaDataService] [LM-1-thread-1] [MetaDataService:986] Looking for Storage Location named: DS1
[36mlogicmodule_1  |[0m 2019-11-13T17:25:58,333 DEBUG [LogicModule] [LM-1-thread-1] [LogicModule:746] autoregisterDataService initializing with hostname 172.31.0.4 and port 2127
[36mlogicmodule_1  |[0m 2019-11-13T17:25:58,351 DEBUG [MetaDataService] [LM-1-thread-1] [MetaDataService:947] Registering new backend: [EE/DS1/172.31.0.4:2127]
[36mlogicmodule_1  |[0m 2019-11-13T17:25:58,360 INFO [LogicModule] [LM-1-thread-1] [LogicModule:757] [LOGICMODULE] Registered ExecutionEnvironment [EE/DS1/172.31.0.4:2127] for language `LANG_JAVA` as 690395ed-9b85-4918-ad84-8f930ceb4f64 associated to storage location 96c5bb62-d81f-4aaf-a4a1-66e576055d2a
[36mlogicmodule_1  |[0m 2019-11-13T17:26:04,487 DEBUG [MetaDataService] [LM-1-thread-1] [MetaDataService:986] Looking for Storage Location named: DS1
[36mlogicmodule_1  |[0m 2019-11-13T17:26:04,488 DEBUG [LogicModule] [LM-1-thread-1] [LogicModule:746] autoregisterDataService initializing with hostname 172.31.0.5 and port 6867
[36mlogicmodule_1  |[0m 2019-11-13T17:26:04,490 DEBUG [MetaDataService] [LM-1-thread-1] [MetaDataService:947] Registering new backend: [EE/DS1/172.31.0.5:6867]
